"Date","Internal","Outside","Total","Weekdays"
"2019-08-08",76686,23187,99873,"목요일"
"2019-08-09",76398,22741,99139,"금요일"
"2019-08-10",77284,26390,103674,"토요일"
"2019-08-11",80346,25737,106083,"일요일"
"2019-08-12",80346,25737,106083,"월요일"
"2019-08-13",72440,23469,95909,"화요일"
"2019-08-14",80584,28141,108725,"수요일"
"2019-08-15",79847,26305,106152,"목요일"
"2019-08-16",72272,25404,97676,"금요일"
"2019-08-17",78386,28583,106969,"토요일"
"2019-08-18",82214,28829,111043,"일요일"
"2019-08-19",81724,25832,107556,"월요일"
"2019-08-20",76167,25291,101458,"화요일"
"2019-08-21",75478,25381,100859,"수요일"
"2019-08-22",77036,25080,102116,"목요일"
"2019-08-23",76384,22946,99330,"금요일"
"2019-08-24",79939,27247,107186,"토요일"
"2019-08-25",83043,26946,109989,"일요일"
"2019-08-26",83304,24034,107338,"월요일"
"2019-08-27",79950,22467,102417,"화요일"
"2019-08-28",79219,22265,101484,"수요일"
"2019-08-29",79603,21151,100754,"목요일"
"2019-08-30",80458,19898,100356,"금요일"
"2019-08-31",75426,21255,96681,"토요일"
"2019-09-01",76404,21281,97685,"일요일"
"2019-09-02",68575,19111,87686,"월요일"
"2019-09-03",59945,17352,77297,"화요일"
"2019-09-04",58748,19424,78172,"수요일"
"2019-09-05",58795,18998,77793,"목요일"
"2019-09-06",51700,20238,71938,"금요일"
"2019-09-07",37451,17905,55356,"토요일"
"2019-09-08",56901,21032,77933,"일요일"
"2019-09-09",54290,19574,73864,"월요일"
"2019-09-10",66990,20978,87968,"화요일"
"2019-09-11",81292,26517,107809,"수요일"
"2019-09-12",81732,24478,106210,"목요일"
"2019-09-13",73522,15872,89394,"금요일"
"2019-09-14",79896,18152,98048,"토요일"
"2019-09-15",83834,21790,105624,"일요일"
"2019-09-16",77472,22557,100029,"월요일"
"2019-09-17",70120,19150,89270,"화요일"
"2019-09-18",65764,18692,84456,"수요일"
"2019-09-19",60834,19496,80330,"목요일"
"2019-09-20",70110,18392,88502,"금요일"
"2019-09-21",69399,21605,91004,"토요일"
"2019-09-22",46761,17853,64614,"일요일"
"2019-09-23",82465,25611,108076,"월요일"
"2019-09-24",69032,21534,90566,"화요일"
"2019-09-25",73691,20026,93717,"수요일"
"2019-09-26",72586,19617,92203,"목요일"
"2019-09-27",79168,20357,99525,"금요일"
"2019-09-28",82281,21670,103951,"토요일"
"2019-09-29",79453,21365,100818,"일요일"
"2019-09-30",73657,18855,92512,"월요일"
"2019-10-01",66786,17730,84516,"화요일"
"2019-10-02",63130,24125,87255,"수요일"
"2019-10-03",70739,23279,94018,"목요일"
"2019-10-04",70501,20138,90639,"금요일"
"2019-10-05",74954,22039,96993,"토요일"
"2019-10-06",76772,20564,97336,"일요일"
"2019-10-07",74320,18995,93315,"월요일"
"2019-10-08",70858,20694,91552,"화요일"
"2019-10-09",72840,22290,95130,"수요일"
"2019-10-10",69946,20099,90045,"목요일"
"2019-10-11",77626,20636,98262,"금요일"
"2019-10-12",87118,21038,108156,"토요일"
"2019-10-13",84191,21906,106097,"일요일"
"2019-10-14",88208,22646,110854,"월요일"
"2019-10-15",83451,21536,104987,"화요일"
"2019-10-16",80962,23187,104149,"수요일"
"2019-10-17",85518,21657,107175,"목요일"
"2019-10-18",90735,23315,114050,"금요일"
"2019-10-19",90088,25073,115161,"토요일"
"2019-10-20",87921,25876,113797,"일요일"
"2019-10-21",92592,22439,115031,"월요일"
"2019-10-22",81932,23726,105658,"화요일"
"2019-10-23",85270,22697,107967,"수요일"
"2019-10-24",85381,22199,107580,"목요일"
"2019-10-25",90178,21514,111692,"금요일"
"2019-10-26",89224,23684,112908,"토요일"
"2019-10-27",78384,21742,100126,"일요일"
"2019-10-28",84029,21009,105038,"월요일"
"2019-10-29",77994,17614,95608,"화요일"
"2019-10-30",77114,20884,97998,"수요일"
"2019-10-31",76707,21637,98344,"목요일"
"2019-11-01",82773,21162,103935,"금요일"
"2019-11-02",82613,19871,102484,"토요일"
"2019-11-03",85791,23455,109246,"일요일"
"2019-11-04",84384,22357,106741,"월요일"
"2019-11-05",75141,20647,95788,"화요일"
"2019-11-06",74777,21716,96493,"수요일"
"2019-11-07",80801,22094,102895,"목요일"
"2019-11-08",84127,21899,106026,"금요일"
"2019-11-09",84032,21965,105997,"토요일"
"2019-11-10",81376,21402,102778,"일요일"
"2019-11-11",81196,20998,102194,"월요일"
"2019-11-12",74049,17870,91919,"화요일"
"2019-11-13",79217,22094,101311,"수요일"
"2019-11-14",78422,22296,100718,"목요일"
"2019-11-15",82181,20298,102479,"금요일"
"2019-11-16",85062,23507,108569,"토요일"
"2019-11-17",86221,24917,111138,"일요일"
"2019-11-18",86221,24917,111138,"월요일"
"2019-11-19",69637,19594,89231,"화요일"
